category,disaster_code,year,quarter,n_documents,programs_total,programs_completed,programs_in_progress,programs_cancelled,program_completion_rate,program_duration_quarters_mean,program_duration_quarters_n_obs,sum_budget_usd,sum_obligated_usd,sum_drawdown_usd,sum_expended_usd,admin_activity_count,admin_activity_budget_usd,admin_activity_obligated_usd,admin_activity_drawdown_usd,admin_activity_expended_usd,outcome_persons_total_actual,outcome_persons_total_expected,outcome_households_total_actual,outcome_households_total_expected,outcome_owner_households_total_actual,outcome_owner_households_total_expected,outcome_renter_households_total_actual,outcome_renter_households_total_expected,outcome_jobs_created_total_actual,outcome_jobs_created_total_expected,outcome_jobs_retained_total_actual,outcome_jobs_retained_total_expected,outcome_housing_units_total_actual,outcome_housing_units_total_expected,severity_rainfall_inches_max,severity_wind_speed_mph_max,sem_signal_count,sem_signal_confidence_mean,admin_staff_count_sum,admin_staff_count_n_obs,admin_staff_count_confidence_mean,admin_payroll_usd_sum,admin_payroll_usd_n_obs,admin_payroll_usd_confidence_mean,affected_population_persons_sum,affected_population_persons_n_obs,affected_population_persons_confidence_mean,affected_population_households_sum,affected_population_households_n_obs,affected_population_households_confidence_mean,severity_deaths_count_sum,severity_deaths_count_n_obs,severity_deaths_count_confidence_mean,severity_economic_loss_usd_sum,severity_economic_loss_usd_n_obs,severity_economic_loss_usd_confidence_mean,severity_property_damage_usd_sum,severity_property_damage_usd_n_obs,severity_property_damage_usd_confidence_mean,severity_unmet_need_usd_sum,severity_unmet_need_usd_n_obs,severity_unmet_need_usd_confidence_mean
2015_Floods,15f,2025,1,1,18.0,9.0,9.0,0.0,0.5,,0.0,20935162.92,910810.42,11370439.17,7968031892467.04,1.0,837205.5,0.0,136.41,2932740.13,,,,,,,,,,,,,,,,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,15f,2025,2,1,14.0,2.0,10.0,2.0,0.14285714285714285,,0.0,13374726.92,100.79,5829229.95,6150076531371.79,1.0,837205.5,0.0,13824.08,2946564.21,,,,,,,,,,,,,,,,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,15f,2025,3,1,13.0,4.0,7.0,2.0,0.3076923076923077,,0.0,4761088.04,1190.52,13644779.04,15705489.89,1.0,837205.5,0.0,2961058.13,2961058.13,,,,,,,,,,,,,,,,,7.0,0.84,,,,,,,,,,,,,,,,,,,,,,700947044.0,7.0,0.84
2015_Floods,f15,2017,2,1,2.0,0.0,2.0,0.0,0.0,,0.0,122125.94,22935.52,145977.9,127326.77,1.0,108805.5,0.0,123042.38,123042.38,,,,,,,,,,,,,,,,,8.0,0.84,,,,,,,,,,,,,,,,,,,,,,780803164.0,8.0,0.84
2015_Floods,f15,2017,3,1,2.0,0.0,2.0,0.0,0.0,,0.0,122125.94,13121.07,363282.98,191052.53,1.0,108805.5,0.0,212150.86,177732.09,,,,,,,,,,,,,,,,,8.0,0.84,,,,,,,,,,,,,,,,,,,,,,780803164.0,8.0,0.84
2015_Floods,f15,2017,4,1,2.0,0.0,2.0,0.0,0.0,,0.0,122125.94,13121.07,363282.98,191052.53,1.0,108805.5,0.0,212150.86,177732.09,,,,,,,,,,,,,,,,,8.0,0.84,,,,,,,,,,,,,,,,,,,,,,780803164.0,8.0,0.84
2015_Floods,f15,2018,1,1,2.0,0.0,2.0,0.0,0.0,,0.0,122125.94,55933.81,363262.64,294207.76,1.0,108805.5,0.0,280887.32,280887.32,,,,,,,,,,,,,,,,,8.0,0.84,,,,,,,,,,,,,,,,,,,,,,780803164.0,8.0,0.84
2015_Floods,f15,2018,2,1,28.0,0.0,28.0,0.0,0.0,,0.0,18291405.97,49216.65,19749404.33,21216758.01,4.0,1559988.0,49216.65,1533488.0,1252600.68,,,,,,,,,,,,,,,323.0,,8.0,0.84,,,,,,,,,,,,,,,,,,,,,,780803164.0,8.0,0.84
2015_Floods,f15,2018,3,1,26.0,0.0,26.0,0.0,0.0,,0.0,15979067.04,163103.46,19016808.88,18881405.31,6.0,1720784.85,163103.46,1677645.85,678435.28,,,,,,,,,,,,,,,,,8.0,0.84,,,,,,,,,,,,,,,,,,,,,,780803164.0,8.0,0.84
2015_Floods,f15,2019,1,1,33.0,0.0,33.0,0.0,0.0,,0.0,23649868.13,700640.86,27898852.25,8131057.8100000005,3.0,3067074.0,155851.38,3027074.0,1617828.99,,,,,,,,,,,,,,,718.47,,8.0,0.84,,,,,,,,,,,,,,,,,,,,,,780803164.0,8.0,0.84
