category,disaster_code,year,quarter,fema_number,n_mentions,n_documents
2016_Floods,16f,2023,1,4272,1,1
2016_Floods,16f,2023,2,4266,1,1
2016_Floods,16f,2023,2,4269,1,1
2016_Floods,16f,2023,2,4272,1,1
2016_Floods,16f,2023,3,4266,1,1
2016_Floods,16f,2023,3,4269,1,1
2016_Floods,16f,2023,3,4272,1,1
2016_Floods,16f,2023,4,4266,1,1
2016_Floods,16f,2023,4,4269,1,1
2016_Floods,16f,2023,4,4272,1,1
2016_Floods,16f,2024,1,4266,1,1
2016_Floods,16f,2024,1,4269,1,1
2016_Floods,16f,2024,1,4272,1,1
2016_Floods,16f,2024,2,4266,1,1
2016_Floods,16f,2024,2,4269,1,1
2016_Floods,16f,2024,2,4272,1,1
2016_Floods,16f,2024,3,4266,1,1
2016_Floods,16f,2024,3,4269,1,1
2016_Floods,16f,2024,3,4272,1,1
2016_Floods,16f,2024,4,4266,1,1
2016_Floods,16f,2024,4,4269,1,1
2016_Floods,16f,2024,4,4272,1,1
2016_Floods,16f,2025,1,4266,1,1
2016_Floods,16f,2025,1,4269,1,1
2016_Floods,16f,2025,1,4272,1,1
2016_Floods,16f,2025,2,4266,1,1
2016_Floods,16f,2025,2,4269,1,1
2016_Floods,16f,2025,2,4272,1,1
2016_Floods,16f,2025,3,4266,1,1
2016_Floods,16f,2025,3,4269,1,1
2016_Floods,16f,2025,3,4272,1,1
2018_Floods_ActionPlan,2018-south-texas-floods,2021,3,4377,3,1
