Grantee,Ratio_disbursed_to_obligated,Ratio_expended_to_disbursed,Timeliness,Duration_of_completion,Ratio_obligated_funds_fully_expended,Quarter_by_quarter_variance_expended,Duration_log,Spending_CV,Spending_Gini,N_Quarters,Progress_Rate,Spending_Acceleration,Time_to_50pct,Startup_Lag,Completion_Velocity,Government_Type
"Minot, ND",0.9949039263939351,1.0051277530833622,0.014579599740639918,77.11184210526316,1.0000000000000002,0.23522810341922296,4.2908356938213945,1.3900249671876344,0.6351065544384173,37.0,0.028156565656565668,-0.052990824767930655,0.35025252525252526,0.0,0.028565557558957105,local
Mississippi,0.519033443720492,0.9222178572938444,0.022359400279262587,78.08223684210527,0.5161406484996905,0.27881018070086966,4.079135520985883,1.3107184197032853,0.5537435679559972,41.5,0.008840683130924329,-0.008961202787161792,0.58,0.0,0.00919267453576342,state
Missouri,0.39036062625571777,0.9335448942429866,0.024776960190811326,46.03728070175439,0.37317410727126993,0.2530470669420796,3.764967070999828,1.2397506852934752,0.532950414571734,15.333333333333334,0.022319564263126188,0.07866915585000182,0.9626262626262626,0.3333333333333333,0.02373964566563425,state
"Moore, OK",0.9789343199233719,1.0,0.011888002502737367,84.11842105263159,0.9789343199233719,0.21997038549325176,4.432225580480396,1.29104282705317,0.6222235441338814,37.0,0.026457684322253296,-0.06110634300224318,0.2972972972972973,0.0,0.02699499938271606,local
"Nashville-Davidson, TN",0.5133471258850615,0.9836124235473056,0.04663032508294354,57.06250000000001,0.5129806613132347,0.33068602195854274,3.5548256775003404,1.601894675663908,0.6557853258877082,26.0,0.013661831994975292,-0.20624878467605004,0.6354166666666666,0.5,0.014068231829422455,local
Nebraska,0.3305256550702089,0.8124833004482909,0.023783445470192455,42.04605263157895,0.2685465751142767,0.33626210812932966,3.7387655088040055,1.2052249486764555,0.6169152125741909,14.0,0.019181898222448337,0.15374919793287295,1.0,3.0,0.020657428854944364,state
New Jersey,0.6289277397587868,0.9854767798566014,0.021659269193759833,87.07894736842105,0.6301153263408509,0.2912733905826536,4.193459939575717,0.8569556080973694,0.4557615542638549,28.666666666666668,0.019722178184936632,0.009708960916926355,0.6348566308243727,0.3333333333333333,0.020710511510315634,state
"New Orleans, LA",0.5898956472152463,1.1621792472000436,0.011860664148062526,85.59868421052633,0.7872707761833827,0.22640490443324907,4.442098899822088,1.5510478757685522,0.5874672495586528,34.5,0.021729378103272648,-0.006097547897758526,0.7432432432432432,0.5,0.01895152606656323,local
New York,0.994698434132455,0.8887874835418341,0.035790725966709624,82.57236842105263,0.8833857506520848,0.312800830531088,4.012308376083338,1.2047232783351656,0.566289581366992,27.5,0.06697537905940047,-0.3753384846884164,0.44829674914155515,1.25,0.022994366503565424,state
"New York City, NY",0.46840363981967953,0.6046274585754058,0.02831539666997571,80.08333333333333,0.34499989443979545,0.32383901998012293,4.042015521883738,1.6011520219952455,0.6816728646335629,21.0,0.010286515247806383,0.01249936307017526,0.7851851851851852,0.6666666666666666,0.010635551823666947,local
North Carolina,0.0,0.0,0.3333333333333333,3.0,0.0,0.0,1.0986122886681098,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,state
North Carolina-NCORR,0.5619671094425818,0.6928968773348504,0.023308039290241465,50.29440789473685,0.5205160525950123,0.32320388265684086,3.84762228528263,1.4178540269422575,0.5888395038417569,17.5,0.025164511571095113,0.10108409991432887,0.8115468409586056,1.0,0.026407358019771923,local
Northern Mariana Islands,0.15375093766589798,0.9600372589858606,0.02645556500337972,40.53289473684211,0.1464183021888676,0.3470718383293605,3.6672013029366433,1.1824369165374022,0.5832352616071032,12.5,0.009957786982670858,0.06440180137630858,1.0,0.0,0.009720094551797495,state
Ohio,0.1051993100365705,1.0,0.04157549234135667,24.05263157894737,0.1051993100365705,0.3934836681637248,3.1802444117277644,1.0463488126180074,0.5216923279835783,7.0,0.015028472862367215,0.03197265860571031,1.0,0.0,0.011366700663686849,state
Oklahoma,0.5831940991263396,0.9887697778578706,0.020365363180666278,49.51315789473685,0.5813067914588155,0.2931596036623565,3.8980790773886174,1.5516040190328222,0.7107791626898081,29.0,0.01708339828446311,0.0629288737353801,0.6162790697674418,0.0,0.01771684760451862,state
"Orange County, FL",0.27041322777777776,0.709971658396642,0.08347062053816584,11.980263157894738,0.19198572777777778,0.4330127018922193,2.4832605588813315,2.0,0.75,4.0,0.047996431944444445,-0.4000000000000002,1.0,1.0,0.0639952425925926,local
